,Weekly Decay,Daily Decay,Key,Feature Set,MSE Nov,MA Nov,MA (Tier) Nov,MSE Dec,MA Dec,MA (Tier) Dec,Eval MSE,Eval MA,Eval MA (Tier)
24,0.7071067811865476,0,25,"['Positivity_Rate_7_1dayago', 'Diff Internal_Movement_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.0001380029325253245,0.7761904761904762,0.761904761904762,0.00035998200929767424,0.6543778801843319,0.6313364055299538,0.0002508119715407809,0.7142857142857143,0.6955503512880562
25,0.7071067811865476,0,26,"['Positivity_Rate_7_1dayago', 'Excess Internal_Movement_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.0001222990739742072,0.6857142857142857,0.7285714285714285,0.0002477481059517998,0.695852534562212,0.608294930875576,0.0001860518607169182,0.6908665105386416,0.6674473067915689
26,0.7071067811865476,0,27,"['Positivity_Rate_7_1dayago', 'Pressure_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.0002506912538872088,0.4428571428571429,0.44761904761904764,0.00012193590239993893,0.7096774193548387,0.663594470046083,0.00018525820641007165,0.5784543325526932,0.5573770491803278
27,0.7071067811865476,0,28,"['Positivity_Rate_7_1dayago', 'Diff Pressure_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.0001942413473468799,0.6047619047619047,0.6047619047619047,0.00029623769163445373,0.5990783410138248,0.5898617511520737,0.0002460755550995814,0.6018735362997657,0.5971896955503513
28,0.7071067811865476,0,29,"['Positivity_Rate_7_1dayago', 'Excess Pressure_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",9.927783999280575e-05,0.742857142857143,0.7095238095238094,0.0002827509485451738,0.695852534562212,0.6175115207373272,0.0001925182722079436,0.7189695550351288,0.6627634660421546
29,0.7071067811865476,0,30,"['Pressure_7_Adj100k_1dayago', 'Internal_Movement_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.0007528377303765517,0.4476190476190475,0.41904761904761895,0.0003222428609010007,0.5944700460829493,0.5345622119815668,0.000534010829495534,0.5222482435597189,0.47775175644028095
30,0.7071067811865476,0,31,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Diff Internal_Movement_7_Adj100k_1dayago']",0.00018510806029732612,0.580952380952381,0.5476190476190476,0.00023167309202450653,0.6267281105990784,0.5023041474654377,0.00020877225674884403,0.6042154566744732,0.5245901639344261
31,0.7071067811865476,0,32,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Excess Internal_Movement_7_Adj100k_1dayago']",0.00014437035440363714,0.6142857142857144,0.6333333333333334,0.00014168655678888664,0.6912442396313364,0.6267281105990783,0.00014300645725515737,0.6533957845433256,0.629976580796253
32,0.7071067811865476,0,33,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Diff Internal_Movement_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00021187543504700893,0.5571428571428572,0.5666666666666667,0.00022629907536997248,0.6589861751152074,0.6313364055299538,0.000219205481768515,0.6088992974238876,0.5995316159250585
33,0.7071067811865476,0,34,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Excess Internal_Movement_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00018655386988057678,0.5999999999999999,0.5761904761904761,0.00017878018006629824,0.7004608294930875,0.6175115207373272,0.00018260330620446802,0.6510538641686182,0.5971896955503513
34,0.7071067811865476,0,35,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Pressure_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00027381706450543055,0.42857142857142855,0.37619047619047624,0.00011399062143359021,0.7373271889400922,0.6359447004608294,0.0001925937901574461,0.585480093676815,0.5081967213114754
35,0.7071067811865476,0,36,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Diff Pressure_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.0002616961092079081,0.5095238095238096,0.5047619047619047,0.00018885613369421002,0.5898617511520738,0.608294930875576,0.00022467907247143858,0.5503512880562061,0.5573770491803278
36,0.7071067811865476,0,37,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Excess Pressure_7_Adj100k_1dayago', 'New_Tests_7_Adj100k_1dayago']",0.00016023919540714889,0.6,0.5714285714285714,0.00018651149495269747,0.6866359447004609,0.5990783410138248,0.00017359069189750966,0.6440281030444964,0.5854800936768149
37,0.7071067811865476,0,38,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Diff Internal_Movement_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.00019498502808744175,0.6142857142857142,0.5666666666666667,0.0002851453152498332,0.6820276497695853,0.640552995391705,0.00024080419041587017,0.648711943793911,0.6042154566744731
38,0.7071067811865476,0,39,"['Positivity_Rate_7_1dayago', 'Positivity_Rate_7_2dayago', 'Positivity_Rate_7_3dayago', 'Excess Internal_Movement_7_Adj100k_1dayago', 'New_Cases_7_Adj100k_1dayago']",0.00015643288476387203,0.5999999999999999,0.6428571428571429,0.00021411573500708551,0.6820276497695852,0.6175115207373272,0.00018574712013337395,0.6416861826697892,0.629976580796253
